101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,122,119,120,121
10102,2,170102,210102,1,1,1,1|2|3|4,60,8,4,8.4,4.2,,,,,,,,icon/hero/10102,spine/102
10103,2,170103,210103,5,1,2,1|2|3|4,120,16,5,16.8,8.4,,,,,,,,icon/hero/10103,spine/103
10104,2,170104,210104,3,1,2,1|2|3|4,100,20,7,12.6,12.6,,,,,,,,icon/hero/10104,spine/104
10105,2,170105,210105,2,1,2,1|2|3|4,120,16,8,16.8,8.4,,,,,,,,icon/hero/10105,spine/105
10201,2,170201,210201,1,2,1,1|2|3|4,120,36,9,12.6,25.2,,,,,,,,icon/hero/10201,spine/201
10202,2,170202,210202,1,2,1,1|2|3|4,120,36,10,12.6,25.2,,,,,,,,icon/hero/10202,spine/202
10203,2,170203,210203,5,2,1,1|2|3|4,300,40,19,42,21,,,,,,,,icon/hero/10203,spine/203
10204,2,170204,210204,4,2,1,1|2|3|4,250,50,21,31.5,31.5,,,,,,,,icon/hero/10204,spine/204
10205,2,170205,210205,4,2,2,1|2|3|4,250,50,23,31.5,31.5,,,,,,,,icon/hero/10205,spine/205
10301,2,170301,210301,1,3,1,1|2|3|4,300,40,25,42,21,,,,,,,,icon/hero/10301,spine/301
10302,2,170302,210302,5,3,2,1|2|3|4,300,40,19,42,21,,,,,,,,icon/hero/10302,spine/302
10303,2,170303,210303,3,3,1,1|2|3|4,240,72,26,25.2,50.4,,,,,,,,icon/hero/10303,spine/303
10304,2,170304,210304,2,3,1,1|2|3|4,300,60,27,37.8,37.8,,,,,,,,icon/hero/10304,spine/304
10305,2,170305,210305,4,3,1,1|2|3|4,360,48,28,50.4,25.2,,,,,,,,icon/hero/10305,spine/305
10306,2,170306,210306,2,3,1,1|2|3|4,300,40,19,42,21,,,,,,,,icon/hero/10306,spine/306
30001,2,190001,230001,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30001,spine/30001
30002,2,190002,230002,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30002,spine/30002
30003,2,190003,230003,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30003,spine/30003
30004,2,190004,230004,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30004,spine/30004
30005,2,190005,230005,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30005,spine/30005
30006,2,190006,230006,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30006,spine/30006
30007,2,190007,230007,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30007,spine/30007
30008,2,190008,230008,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30008,spine/30008
30009,2,190009,230009,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30009,spine/30009
30010,2,190010,230010,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30010,spine/30010
30011,2,190011,230011,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30011,spine/30011
30012,2,190012,230012,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30012,spine/30012
30013,2,190013,230013,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30013,spine/30013
30014,2,190014,230014,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30014,spine/30014
30015,2,190015,230015,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30015,spine/30015
30016,2,190016,230016,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30016,spine/30016
30017,2,190017,230017,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30017,spine/30017
30018,2,190018,230018,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/30018,spine/30018
40001,2,190019,240001,6,2,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/40001,spine/40001
40002,2,190020,240002,2,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/40002,spine/40002
40003,2,190021,240003,5,1,,1|2|3|4,200,60,33,21,42,,,,,,,,icon/monster/40003,spine/40003
